title,authors,average_rating,isbn,# num_pages
Dale Carnegie's Lifetime Plan for Success: How to Win Friends and Influence People & How to Stop Worrying and Start Living,Dale Carnegie,4.16,1578660394,538
The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus-Richmond Lattimore-David Grene,4.11,226307646,358
Tiempos de arroz y sal,Kim Stanley Robinson,3.73,8445074091,715
The Final Battle (Tales from the Odyssey  #6),Mary Pope Osborne-Troy Howell,4.08,786809949,112
Haunted Castle on Hallows Eve (Magic Tree House #30),Mary Pope Osborne-Salvatore Murdocca,4.03,1400091055,0
Death in the Garden,Elizabeth Ironside,3.65,1933397179,294
The Talbot Odyssey,Nelson DeMille,3.85,446358584,544
The Kept Woman,Susan Donovan,3.82,312939507,384
The Stephen King Collection: Stories from Night Shift,Stephen King-John  Glover,3.99,739317369,11
The Abyss,Orson Scott Card-James Francis Cameron,4.07,99690608,363
Ishmael,Daniel Quinn,3.99,553078755,267
Outlander - The Exile of Sharad Hett (Star Wars: Ongoing  Volume 2),Timothy Truman-Rick Leonardi-Tom Raney-Al Rio,3.46,1569715149,144
Babies (Baby Einstein),Julie Aigner-Clark,4.03,786808381,20
An Evening of Long Goodbyes,Paul Murray,3.60,812970403,448
White Noise: Text and Criticism,Don DeLillo-Mark Osteen,3.86,140274987,560
Experiencing Father's Embrace,Jack Frost,4.34,768423481,256
Erotism: Death and Sensuality,Georges Bataille-Mary Dalwood,4.10,872861902,288
Ghost Stories: #1 27 59 89 107 133 (Nancy Drew),Carolyn Keene,3.76,671691325,160
I  Claudius,Robert Graves,4.27,394725360,432
Tibullus: A Commentary,Michael C.J. Putnam,3.67,806115602,222
Lord of Chaos (Wheel of Time  #6),Robert Jordan,4.12,812513754,1011
The Cross From A Distance: Atonement In Mark's Gospel,Peter G. Bolt,3.87,083082619X,213
Interviews with John Kenneth Galbraith (Conversations with Public Intellectuals),John Kenneth Galbraith-James Ronald Stanfield-J. Ron Stanfield-Jacqueline Bloom Stanfield,4.50,1578066107,247
Crime and Punishment (Norton Critical Editions),Fyodor Dostoyevsky-George Gibian-Jessie Coulson,4.20,393096335,690
Lobsters,Charles Stross-Shandra Marie-Jared Doreck,3.86,1884612466,1
Mark Twain's Adventures of Huckleberry Finn,Mark Twain-Richard P. Wasowski,3.81,764587277,264
Galapagos: A Natural History,Michael H. Jackson,3.87,1895176409,336
The Secret Dreamworld of a Shopaholic (Shopaholic  #1),Sophie Kinsella,3.63,552998877,320
The Birds (Methuen Drama),Sean O'Brien,2.67,413772780,96
Inferno,Dante Alighieri-Anthony M. Esolen,4.00,034548357X,560
Time Twisters,Jean Rabe-Martin H. Greenberg-Stephen Leigh-Gene DeWeese-Joe Masdon-Donald J. Bingle-Skip Williams-Penny Williams-Pierce Askegren-Nancy Virginia Varian-Wes Nicholson-John Helfers-Chris Pierson-Harry Turtledove-Kevin J. Anderson-Robert E. Vardeman-Jackie Cassada-James M. Ward-Jon L. Breen-Linda P. Baker,3.34,756404053,306
Message in a Bottle,Nicholas Sparks,3.96,446606812,370
How Right You Are  Jeeves (Jeeves  #12),P.G. Wodehouse,4.17,743203593,206
Crime Wave: Reportage and Fiction from the Underside of L.A.,James Ellroy-Art Cooper,3.59,037570471X,288
The Age of Grief,Jane Smiley,3.82,385721870,224
The 7 Habits of Highly Effective Families,Stephen R. Covey,4.15,684860082,389
Forest Mage (Soldier Son  #2),Robin Hobb,3.38,60757639,718
The Jefferson Bible: The Life and Morals of Jesus of Nazareth,Thomas Jefferson,3.82,1557091846,103
The Bachman Books: Four Early Novels by Stephen King,Stephen King-Richard Bachman,4.11,453005071,692
The Demon Princes  Volume One: The Star King  The Killing Machine  The Palace of Love,Jack Vance,4.25,312853025,446
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley-William D. Danko,4.02,671015206,258
The 97th Step (Matador  #5),Steve Perry,4.22,441581056,304
Shadow Dance (Buchanan-Renard  #6),Julie Garwood,4.00,345453867,336
Gift from the Sea,Anne Morrow Lindbergh,4.17,679406832,132
Education as My Agenda: Gertrude Williams  Race & the Baltimore Public Schools,Jo Ann Ooiman Robinson,4.25,031229543X,336
Angels & Insects,A.S. Byatt,3.65,676503187,292
Blueberries for the Queen,John  Paterson-Katherine Paterson-Susan Jeffers,3.76,66239427,32
Entry to Elsewhen,John Brunner,3.36,879971541,172
The Story Of Thought,Bryan Magee,4.28,789444550,240
Devilish,Maureen Johnson,3.47,1595140603,263
The Soldiers' Tale: Bearing Witness to Modern War,Samuel Hynes,3.82,140261540,336
Good Grief: The Story of Charles M. Schulz,Rheta Grimsley Johnson,3.72,886875536,256
The Second Omni Book of Science Fiction,Ellen Datlow,3.84,077378232X,157
Betsy's Little Star,Carolyn Haywood,4.05,440401720,157
Robbins and Cotran Review of Pathology,Edward Klatt-Vinay Kumar,4.37,721601944,432
Chosen Prey (Lucas Davenport  #12),John Sandford,4.24,425182878,383
JR,William Gaddis-Frederick R. Karl,4.28,140187073,752
A Door of Hope,Jan Frank,3.95,898401879,197
A Quick Bite (Argeneau #1),Lynsay Sands,3.91,60773758,360
Winter Is the Warmest Season,Lauren Stringer,3.91,152049673,40
Data Structures and Algorithm Analysis in C++,Mark Allen Weiss,3.87,032144146X,586
Spells & Sleeping Bags (Magic in Manhattan  #3),Sarah Mlynowski,4.05,385733879,324
The Heidi Chronicles,Wendy Wasserstein,3.73,822205106,81
The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,Richard Dawkins,4.13,061861916X,688
The Far Side of Evil,Sylvia Engdahl,3.98,142402931,324
Wise Child,Monica Furlong,4.14,394891058,228
Clear and Present Danger (Jack Ryan Universe  #6),Tom Clancy,4.10,425144372,688
Complete Novels: Red Harvest / The Dain Curse / The Maltese Falcon / The Glass Key / The Thin Man,Dashiell Hammett-Steven Marcus,4.39,1883011671,967
Hemingway: A Biography,Jeffrey Meyers,4.03,306808900,644
Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,Black Elk-John G. Neihardt,4.14,803283857,270
The Mantle of the Prophet: Religion and Politics in Iran,Roy Mottahedeh,4.07,1851682341,416
The Roald Dahl Audio Collection,Roald Dahl,4.41,61214965,4
Ulysses Found,Ernle Bradford,4.04,750937254,238
Lysis/Symposium/Gorgias,Plato-W.R.M. Lamb,4.39,674991842,560
The Waves,Virginia Woolf,4.14,156949601,297
Blackberry Wine,Joanne Harris,3.79,380815923,368
Danse Macabre,Stephen King,3.63,042518160X,400
Illuminations: Essays and Reflections,Walter Benjamin-Hannah Arendt-Harry Zohn-Leon Wieseltier,4.29,805202412,288
Dirty Little Secrets (Marisela Morales/Dirty #1),Julie Leto,3.58,1416501622,352
The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche-Francis Golffing,4.00,385092105,320
Thicker Than Water (Louis Kincaid  #4),P.J. Parrish,4.09,786014202,380
The Spenser Collection: Volume I (Spenser  #27-28),Robert B. Parker-Joe Mantegna,4.24,739340190,0
Running In The Family,Michael Ondaatje,3.84,330281720,207
Lock 14,Georges Simenon-Robert Baldick,3.63,143037277,154
Public Enemies (On The Run  #5),Gordon Korman,4.19,439651409,150
Numerical Recipes Example Book C++: The Art of Scientific Computing,William T. Vetterling-William H. Press-Saul A. Teukolsky,2.75,521750342,330
100 Selected Poems,E.E. Cummings,4.31,394172191,121
Crusade in Europe,Dwight D. Eisenhower,4.08,080185668X,559
Den of Thieves,James B. Stewart,4.16,067179227X,592
Goodnight Moon 123: A Counting Book (Over the Moon),Margaret Wise Brown-Clement Hurd,3.59,61125938,32
Suffering and the Sovereignty of God,John Piper-Justin Taylor-Mark Talbot-David A. Powlison-Steve Saint-Dustin Shramek-Carl Ellis,4.31,1581348096,254
Hidden Talents (Talents  #1),David Lubar,3.93,765357666,240
Go Jump in the Pool! (Macdonald Hall  #2),Gordon Korman,4.15,590442090,192
Port Mungo,Patrick McGrath,3.32,1400075483,242
Everyday Pasta,Giada De Laurentiis-Victoria Pearson,4.09,307346587,240
Peter Pan and Other Plays,J.M. Barrie-Peter Hollindale,3.99,192839195,384
Black Veil: A Memoir with Digressions,Rick Moody,3.06,316578991,336
Alcestis,Euripides-William Arrowsmith,3.83,195061667,142
This Boy's Life,Tobias Wolff,3.98,802136680,304
Tales From Shakespeare,Charles Lamb-Mary Lamb-Arthur Rackham,3.94,1853261408,278
Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,Euripides-Richmond Lattimore-David Grene-Rex Warner-Ralph Gladstone,4.03,226307808,221
The Interpreters,Wole Soyinka,3.56,233989781,251
Blue Noon (Midnighters  #3),Scott Westerfeld,3.85,60519592,384
Beauty is the Beast  Vol. 4,Tomo Matsumoto-Tomo Kimura,3.79,1421503549,208
Clay's Quilt,Silas House,3.95,345450698,320
Clown,Quentin Blake,3.97,805059334,32
Isak Dinesen: The Life of a Storyteller,Judith Thurman,4.07,312135254,512
Line Of Vision,David Ellis,3.80,425183769,448
Obasan,Joy Kogawa,3.63,385468865,320
Confessions of an Ugly Stepsister,Gregory Maguire,3.52,60987529,372
Nightsword (Starshield  #2),Margaret Weis-Tracy Hickman,3.66,034542462X,404
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,806519606,542
Un Destello en la Niebla (Landry  #2),V.C. Andrews-Marta Perez Sanchez,3.89,8401497965,475
Sailing the Wine-Dark Sea: Why the Greeks Matter,Thomas Cahill,3.77,385495544,352
Outlander (Outlander  #1),Diana Gabaldon,4.22,440242940,850
Lullaby Town (Elvis Cole  #3),Robert Crais,4.13,752817000,296
Geisha: The Life  the Voices  the Art,Jodi Cobb-Ian Buruma,3.89,037570180X,128
The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,256
Seven Men and Two Others,Max Beerbohm,3.92,1853754153,288
Sidetracked (Kurt Wallander  #5),Henning Mankell-Steven T. Murray,4.06,1400031567,432
The Myth of the Magus (Canto Original),Elizabeth M. Butler,3.71,521437776,320
The Lord of the Rings,Brian Sibley-Michael Bakewell-J.R.R. Tolkien,4.49,563388129,13
Satan's Tail (Dreamland  #7),Dale Brown-Jim DeFelice,4.00,60094419,405
Men  Martians and Machines,Eric Frank Russell-George Zebrowski-Isaac Asimov,3.80,517551853,216
The Clicking of Cuthbert,P.G. Wodehouse,3.94,1406929980,162
The Essential Iliad,Homer-Sheila Murnaghan-Stanley Lombardo,3.95,872205428,215
Double Dealer (CSI: Crime Scene Investigation  #1),Max Allan Collins-Mike Flaherty,3.65,743444043,320
The Innkeeper's Song,Peter S. Beagle,3.89,451452887,346
Breaking the Maya Code,Michael D. Coe,4.03,500281335,304
I  Robot: The Illustrated Screenplay,Harlan Ellison,4.02,1596870419,288
The House of the Dead,Fyodor Dostoyevsky-Ergin Altay,4.04,486434095,247
The Time of Our Singing,Richard Powers,4.24,99453835,631
Here  There and Everywhere: My Life Recording the Music of the Beatles,Geoff Emerick-Howard Massey-Elvis Costello,4.25,1592402690,400
The Jungle,Upton Sinclair-Earl Lee-Kathleen DeGrave,3.73,1884365302,335
Deep Heat,Chris Manby,3.48,340717610,480
Selected Writings from Protagoras/Republic/Phaedrus/Gorgias,Plato,4.43,1904919103,320
Speeches and Writings 1832–1858,Abraham Lincoln-Don E. Fehrenbacher,4.37,940450437,898
The Barrytown Trilogy: The Commitments / The Snapper / The Van,Roddy Doyle,4.28,140252622,633
Worlds of Wonder,Terry Pastor-Damon Knight-Philip K. Dick-C.M. Kornbluth-Bob Shaw-Frederik Pohl-Alfred Bester-C.L. Moore-Henry Kuttner-Robert Sheckley-James Blish-Cordwainer Smith-Brian W. Aldiss-Jack Vance,4.15,575043555,368
Battle of the Bunheads (Scrambled Legs  #2),Jahnna N. Malcolm,3.52,970016417,160
Cujo,Stephen King,3.70,307348245,432
The Heart Of A Dog,Mikhail Bulgakov-Michael Glenny,4.12,1860466400,128
Rock Star Superstar,Blake Nelson,3.59,142405744,229
My Life in France,Julia Child-Alex Prud'Homme,4.17,1400043468,302
Sunstorm (A Time Odyssey  #2),Arthur C. Clarke-Stephen Baxter,3.83,345452518,356
The Reawakening,Primo Levi-Stuart J. Woolf,4.27,684826356,230
William Faulkner: The Sound and the Fury and as I Lay Dying: Essays  Articles  Reviews,Nicolas Tredell,3.96,023112189X,192
Maigret Loses His Temper (Maigret  #61),Georges Simenon,3.84,156028476,144
Hoodwinked,Quentin Carter,4.43,976234963,277
Two Brothers: The Lawman / The Gunslinger (Two Brothers  #1-2),Linda Lael Miller,4.04,743411544,393
A Dance to the Music of Time: 3rd Movement (A Dance to the Music of Time  #7-9),Anthony Powell,4.26,226677176,715
American Sphinx: The Character of Thomas Jefferson,Joseph J. Ellis,3.91,679764410,440
Tales from Watership Down,Richard  Adams,3.78,517289369,267
Martin Chuzzlewit,Charles Dickens-Patricia Ingham-Hablot Knight Browne,3.83,140436146,830
The Castle of Llyr (The Chronicles of Prydain  #3),Lloyd Alexander,4.08,805080503,174
World War One British Poets: Brooke  Owen  Sassoon  Rosenberg and Others,Candace Ward,4.01,486295680,80
El Club Dante,Matthew Pearl-Vicente Villacampa,3.38,8432217204,586
Cliffs Notes on Cervantes' Don Quixote,Marianne Sturman,3.64,822004151,96
Wenn Engel fallen,Tracy Chevalier,3.57,3471772537,384
No Exit and Three Other Plays,Jean-Paul Sartre-Stuart Gilbert-Lionel Abel,4.10,679725164,275
Ruby the Red Fairy (Rainbow Magic  #1),Daisy Meadows-Georgie Ripper,3.83,043973861X,65
A Short History of World War II,James L. Stokesbury,3.93,688085873,416
The Forgotten,Elie Wiesel-Stephen Becker,3.93,805210199,320
The Doctor is Sick,Anthony Burgess,3.63,393316025,260
Great Short Works of Herman Melville,Herman Melville-Warner Berthoff,4.02,60586540,512
Singing from the Well,Reinaldo Arenas-Andrew Hurley-Thomas Colchie,3.92,014009444X,240
Led Astray (Hellraisers  #1),Sandra Brown-Erin St. Claire,3.75,778321584,240
Emily of Deep Valley (Deep Valley  #2),Maud Hart Lovelace-Vera Neville,4.23,64408582,304
Douglas Adams's Starship Titanic,Terry Jones,3.60,345368436,256
The Complete Works of Shakespeare,William Shakespeare-David Bevington,4.49,032109333X,2016
Cast in Dark Waters (Cemetery Dance Novella Series  #11),Ed Gorman-Tom Piccirilli-Keith Minnion,3.31,1587670135,100
Path of Destruction (Star Wars: Darth Bane  #1),Drew Karpyshyn,4.27,345477367,324
The Spettecake Holiday,Edith Unnerstad-Iben Clante-Inger Boye,4.18,27905403,211
Angels: Celestial Spirits in Legend & Art,Jacqueline Carey,4.00,1567996035,128
Berlin: The Downfall  1945,Antony Beevor,4.28,670886955,489
Carrie (Biblioteca de Stephen King. 102  8),Stephen King-Gregorio Vlastelica,3.95,609810901,288
Always Remember Me: How One Family Survived World War II,Marisabina Russo,4.14,689869207,48
Middlemarch: An Authoritative Text  Backgrounds  Reviews and Criticism,George Eliot-Bert G. Hornback,3.95,393092100,578
Louisa May Alcott's Christmas Treasury,Louisa May Alcott-C. Michael Dudash-Stephen W. Hines,3.95,1589199502,282
The Three Stigmata of Palmer Eldritch,Philip K. Dick,4.01,1407247425,231
Call It Sleep,Henry Roth-Hana Wirth-Nesher-Alfred Kazin,3.83,312424124,462
The Complete Poems (Poetry Library),D.H. Lawrence,4.01,1853264172,704
What Is the What,Dave Eggers,4.16,1932416641,475
Four British Fantasists: Place and Culture in the Children's Fantasies of Penelope Lively  Alan Garner  Diana Wynne Jones  and Susan Cooper,Charles Butler,4.28,081085242X,311
Magician (The Riftwar Saga  #1-2),Raymond E. Feist,4.33,586217835,681
ER Vets: Life in an Animal Emergency Room,Donna M. Jackson,3.93,618436634,96
The Return of Grand Theory in the Human Sciences,Quentin Skinner,3.82,521398339,224
Cleansing the Doors of Perception: The Religious Significance of Entheogenic Plants and Chemicals,Huston Smith,4.01,1591810086,173
Xanth: The Quest for Magic (Xanth  #1-3),Piers Anthony,4.06,034545328X,784
Paint it Black,Janet Fitch,3.48,316182745,387
The Little Book of Coaching: Motivating People to Be Winners,Kenneth H. Blanchard-Don Shula,3.67,66621038,128
Reliquary (Pendergast  #2),Douglas Preston-Lincoln Child,4.02,765354950,464
Letters of E.B. White,E.B. White-Dorothy Lobrano Guth-Martha White-John Updike,4.12,60757086,736
Three Famous Short Novels: Spotted Horses Old Man the Bear,William Faulkner,3.86,394701496,320
Fathers and Sons,Ivan Turgenev-George Reavy-Jane Costlow,3.96,451529693,244
The Shawshank Redemption,Mark Kermode-Rob White,4.42,851709680,96
Stark [The Dark Half],Stephen King-Christel Wiemken,3.76,3548252729,525
The Players of Gilean (Dragonlance: Tales from the War of Souls  #2),Margaret Weis-Tracy Hickman,3.64,786929200,320
The Road to Yesterday (Anne of Green Gables  #9),L.M. Montgomery,3.81,553560689,403
Brown Girl  Brownstones,Paule Marshall-Mary Helen Washington-Edwidge Danticat,4.06,1558614982,324
Bonecrack,Dick Francis,3.97,425208850,304
Witch Grass,Raymond Queneau-Barbara Wright,3.94,1590170318,328
The Impostor (Liar's Club  #2),Celeste Bradley,3.91,312984863,369
Easy Riders  Raging Bulls: How the Sex-Drugs-And-Rock-'N'-Roll Generation Saved Hollywood,Peter Biskind,4.11,747544212,506
The Simple Art of Murder,Raymond Chandler,4.16,394757653,384
Right Stuff  Wrong Sex: America's First Women in Space Program,Margaret A. Weitekamp,3.80,801883946,256
Ape and Essence,Aldous Huxley,3.77,929587782,222
Children of the Mind (Ender's Saga  #4),Orson Scott Card,3.75,765304740,370
I Love Saturdays y domingos,Alma Flor Ada-Elivia Savadier,4.03,068987409X,32
Chicken Trek,Stephen Manes,4.38,553157167,128
Gormenghast (Gormenghast  #2),Mervyn Peake,4.01,345730089,568
Lessons from Turtle Island: Native Curriculum in Early Childhood Classrooms,Guy W. Jones-Sally Moomaw,4.12,1929610254,208
The Making of Master and Commander: The Far Side of the World,Tom McGregor,3.96,393325539,168
The Wizard of London (Elemental Masters  #4),Mercedes Lackey,3.78,756403634,384
The Adventures of Charlie and Mr. Willy Wonka: A Fully Dramatized Recording,Roald Dahl,4.12,141805617,4
Heiress for Hire (Cuttersville  #2),Erin McCarthy,3.76,425207617,284
High Five (Stephanie Plum  #5),Janet Evanovich,4.18,330371231,336
Heather The Violet Fairy (Rainbow Magic  #7),Daisy Meadows-Georgie Ripper,3.85,439746868,80
Arthur and the Lost Kingdoms,Alistair Moffat,3.73,753810743,282
Philip Vera Cruz: A Personal History of Filipino Immigrants and the Farmworkers Movement  Third Edition,Craig Scharlin-Lilia V. Villanueva,3.87,295979844,208
Black Beauty (Coloring Book),Anna Sewell-John         Green,4.25,048629272X,48
The Journals of Ayn Rand,Ayn Rand-Leonard Peikoff-David Harriman,3.95,452278872,752
Ranma 1/2  Vol. 27 (Ranma ½ (US 2nd)  #27),Rumiko Takahashi,4.10,1591164591,200
Invisible Monsters,Chuck Palahniuk,4.00,99285444,297
Trunk Music (Harry Bosch  #5; Harry Bosch Universe  #6),Michael Connelly-Dick Hill,4.17,1423323386,13
A Gateway to Sindarin: A Grammar of an Elvish Language from J.R.R. Tolkien's Lord of the Rings,David Salo,3.73,874808006,438
Sir Gawain and the Green Knight/Pearl/Sir Orfeo,Unknown-J.R.R. Tolkien-Christopher Tolkien,3.97,345277600,214
Heartsnatcher,Boris Vian-Stanley  Chapman-Raymond Queneau-John Sturrock,3.98,1564782999,245
The Call of the Wild,Jack London,3.85,439227143,172
The Valley of Horses (Earth's Children  #2),Jean M. Auel,4.00,553381660,544
The Emotional Intelligence Quick Book: Everything You Need to Know to Put Your EQ to Work,Travis Bradberry-Jean Greaves-Patrick Lencioni,3.53,743273265,185
Tono-Bungay,H.G. Wells-Edward Mendelson-Patrick Parrinder,3.42,141441119,414
Economics,Paul Krugman-Robin Wells,3.95,716799561,1088
Grief Lessons: Four Plays by Euripides,Euripides-Anne Carson,4.39,1590171802,312
Enchantment,Orson Scott Card,3.90,345482409,422
Travels with Charley: In Search of America,John Steinbeck,4.08,142000701,214
Murder Unleashed (Jack and Jamie #2),Lee Charles Kelley,3.91,60524944,304
Your Inner Physician and You: CranioSacral Therapy and SomatoEmotional Release,John E. Upledger,4.09,1556432461,240
Soul of the Sword: An Illustrated History of Weaponry and Warfare from Prehistory to the Present,Robert L. O'Connell-John    Batchelor,4.08,684844079,400
When We Meet Again (Effingtons  #10),Victoria Alexander,3.88,60593199,384
Angels Flight (Harry Bosch  #6),Michael Connelly-Dick Hill,4.16,159737685X,9
They Thirst,Robert R. McCammon,3.90,671664816,565
La conjura de los necios,John Kennedy Toole,3.89,8496333604,462
The Adventures of Tom Sawyer & Adventures of Huckleberry Finn,Mark Twain,4.08,451528646,520
Love You Until--,Lisa McCourt-Cyd Moore,4.67,809166585,32
Mutant Message Down Under,Marlo Morgan,3.79,60723513,224
It (Eso),Stephen King-Edith Zilli,4.23,8497593790,1504
Monster: The Autobiography of an L.A. Gang Member,Sanyika Shakur,3.96,802141447,400
Martian Time-Slip,Philip K. Dick,3.77,185798837X,226
Beyond the Post-Modern Mind: The Place of Meaning in a Global Civilization,Huston Smith,4.21,835608301,295
Estado De Miedo,Michael Crichton,3.70,9685959757,685
Jesus and the Eyewitnesses: The Gospels as Eyewitness Testimony,Richard Bauckham,4.30,802831621,538
Eden: It's an Endless World  Volume 3 (Eden: It's an Endless World  #3),Hiroki Endo,4.20,1593075294,224
Let My People Go Surfing: The Education of a Reluctant Businessman,Yvon Chouinard,4.21,143037838,272
The Short Stories,Ernest Hemingway,4.26,684837862,464
The Tenth Man,Graham Greene,3.72,671019090,160
Complete Poems (Library of Classic Poets),Edgar Allan Poe,4.32,517082454,128
Flirting With Danger (Samantha Jellicoe  #1),Suzanne Enoch,3.93,60593636,384
Athena (The Freddie Montgomery Trilogy  #3),John Banville,3.65,679736859,240
El Aleph,Jorge Luis Borges,4.38,9500425998,253
The Real Thing,Tom Stoppard,3.94,571125298,112
The Complete Stories of Theodore Sturgeon  Volume 7: A Saucer of Loneliness,Theodore Sturgeon-Paul Williams-Kurt Vonnegut,4.41,1556434243,400
The Blood of the Moon: Understanding the Historic Struggle Between Islam and Western Civilization,George Grant,3.69,785265430,224
The Circle (Dan Lenson  #3),David Poyer,4.08,312929641,543
Difficult Conversations: How to Discuss What Matters Most,Bruce Patton-Douglas Stone-Sheila Heen,4.07,014027782X,250
Life Expectancy,Dean Koontz,3.99,553588249,476
Poirot: The Complete Ariadne Oliver  Vol. 2,Agatha Christie,4.20,7190689,727
Stephen Hawking's a Brief History of Time: A Reader's Companion,Stephen Hawking-Gene  Stone,4.09,553077724,194
Study Guide to Accompany Brunner and Suddarth's Textbook of Medical-Surgical Nursing,Suzanne C. O'Connell Smeltzer-Brenda G. Bare-Mary Jo Boyer,4.00,781723051,400
Forbidden Love (Sweet Valley High #34),Francine Pascal-Kate William,3.33,553275216,138
Culture Shock! Laos (Culture Shock!),Stephen  Mansfield,3.29,1857331648,220
Sailor Moo: Cow at Sea,Lisa Wheeler-Ponder Goembel,4.11,689842198,32
The Diary of Anne Frank,Frances Goodrich-Albert Hackett-Wendy Kesselman,4.04,082221718X,70
The Continental Op,Dashiell Hammett,4.15,752856170,288
Guerilla Film Makers Movie Blueprint,Chris          Jones-Jonathan Newman-Cara Williams,4.20,826414532,608
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Donald Miller,3.91,785263705,243
An American Childhood,Annie Dillard,3.91,60915188,255
City of Glass: Douglas Coupland's Vancouver,Douglas Coupland,3.83,1550548182,152
Primary English: Knowledge and Understanding,Jane Medwell-David Wray,3.89,1844450937,218
Alfred Hitchcock and the Making of Psycho,Stephen Rebello,3.90,714530034,224
The Paradox of Choice: Why More Is Less,Barry Schwartz,3.84,60005696,265
The Radical Right & the Murder of John F. Kennedy: Stunning Evidence in the Assassination of the President,Harrison Edward Livingstone,3.22,1412040558,615
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,972016414,123
Kevin Trudeau's Mega Memory: How to Release Your Superpower Memory in 30 Minutes Or Less a Day,Kevin Trudeau,3.51,688153879,368
How to Be a Jewish Parent: A Practical Handbook for Family Life,Anita Diamant-Karen Kushner,3.95,805211160,352
With One Lousy Free Packet of Seed,Lynne Truss,3.27,1861977492,224
The Listener's Bible: NIV,Anonymous-Max McLean,4.60,1931047170,77
Civilization and Its Discontents,Sigmund Freud-Louis Menand,3.77,393059952,192
A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert-Miriam Toews,4.00,1897082274,80
The Basic Problems of Phenomenology (Studies in Phenomenology & Existential Philosophy),Martin Heidegger-Albert Hofstadter,4.28,025320478X,432
Girl With Curious Hair,David Foster Wallace,3.88,393313964,373
Schopenhauer: A Very Short Introduction,Christopher Janaway,3.78,192802593,137
Every Boy's Got One (Boy  #3),Meg Cabot,3.77,330418882,328
Salem Falls,Jodi Picoult,3.81,743418719,434
Poirot's Early Cases: 18 Hercule Poirot Mysteries (Hercule Poirot  #41),Agatha Christie-Hugh Fraser-David Suchet,3.92,1572704721,8
The Greek's Royal Mistress (Princess Brides  #2),Jane Porter,3.68,373124244,192
My Story as told by Water: Confessions  Druidic Rants  Reflections  Bird-watchings  Fish-stalkings  Visions  Songs and Prayers Refracting Light  from Living Rivers  in the Age of the Industrial Dark,David James Duncan,4.08,1578050499,304
In the Heart of the Sea: The Epic True Story That Inspired Moby-Dick,Nathaniel Philbrick,4.16,6531202,302
Wildfire (Drinker of Souls: Wild Magic  #2),Jo Clayton,3.71,886775140,400
Things to Bring  S#!t to Do: And Other Inventories of Anxiety: My Life in Lists,Karen Rizzo,3.66,1584795425,160
Having a Mary Heart in a Martha World: Finding Intimacy with God in the Busyness of Life,Joanna Weaver,4.17,1578562589,256
The Group,Mary McCarthy,3.67,451025016,397
Riddle-Master (Riddle-Master  #1-3),Patricia A. McKillip,4.22,441005969,578
About the B'nai Bagels,E.L. Konigsburg,3.56,440400341,172
Cromartie High School  Vol. 01,Eiji Nonaka-Brendan Frayne,3.99,141390257X,158
In Search of Lost Time (New Trans.) Vol 1 Swanns Way,Marcel Proust,4.14,701137681,534
The Naked Ape: A Zoologist's Study of the Human Animal,Desmond Morris,3.95,385334303,256
Under The Tuscan Sun - At Home In Italy,Frances Mayes,3.75,767902807,291
A Companion to Plato's Republic,Nicholas P. White,3.65,915144921,288
Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil-Gillian McCain,4.15,802142648,452
Operation Shylock: A Confession,Philip Roth,3.77,009930791X,400
Magic's Pawn (Valdemar: Last Herald-Mage #1),Mercedes Lackey,4.21,886773520,349
The Hour of the Gate (Spellsinger  #2),Alan Dean Foster,3.84,743498291,304
The Hip Chick's Guide to Macrobiotics: A Philosophy for Achieving a Radiant Mind and a Fabulous Body,Jessica Porter-Michio Kushi,3.68,1583332057,289
If You Dont Know By Now (Destiny  Texas),Teresa Southwick-Mary-Theresa Hussey,3.06,373195605,192
Ten Things I Wish I'd Known--Before I Went Out Into the Real World,Maria Shriver,3.69,446526126,144
When Night Falls,Linda  Anderson,3.48,743411471,436
The Complete Fairy Tales,Hans Christian Andersen-Lily Owens-Arthur Rackham-Hans Richter,4.28,517092913,803
Wizard's First Rule (Sword of Truth  #1),Terry Goodkind,4.14,765346524,836
Cuentos de Eva Luna,Isabel Allende,3.97,8401381630,276
Courtesans and Fishcakes: The Consuming Passions of Classical Athens,James Davidson,3.93,60977663,416
In the Hand of the Goddess (Song of the Lioness  #2),Tamora Pierce,4.25,689878567,264
Beowulf: A Dual-Language Edition,Unknown-Howell D. Chickering,3.43,1400096227,464
